track_ids,danergy,acousticness,instrumentalness,valence,loudness,tempo,duration_secs
3DlRZM6zKSlAZigHbJQ3cp,0.638,0.122,3.53e-05,0.286,-3.909,122.448,260.76
5sC4GlhZ9zCb6gPxSIbX5j,0.7035,0.0273,0.000911,0.724,-5.605,100.124,249.733
0badzfVKdc475dNMlmUvfy,0.72,0.0453,0.0,0.718,-5.743,119.987,291.867
3ZpQiJ78LKINrW9SQTgbXd,0.6739999999999999,0.111,0.0186,0.931,-11.179,120.091,272.107
5XrfFo0JFOnWD9ZMNXGkQh,0.6120000000000001,0.0482,8.43e-05,0.292,-7.091,95.415,323.4
0KmylOmsEL1Lqo8GDP80LJ,0.714,0.00563,0.000592,0.52,-5.558,104.693,247.0
6Zx8uNRC67HsJmWE99Kzhj,0.6675,0.0399,4.98e-05,0.713,-8.31,113.036,257.44
1iDYoLIMqZjp7CCaI6uFTr,0.496,0.811,8.56e-05,0.565,-8.951,154.57,190.827
4RvxfpW2BCbVn6CULiWlqi,0.7395,0.0642,0.000328,0.739,-6.526,127.243,230.0
7trABhQmiqt7UdIAmLm2hA,0.6325000000000001,0.00628,0.0,0.884,-5.446,117.999,231.693
77QCfMGmEG334ZR9QR5zAR,0.597,0.00573,0.0,0.543,-8.685,108.031,225.947
2HpIvr7MWwxpvVmvbFwRBf,0.546,0.0067,0.0,0.476,-7.902,168.019,238.667
5v7Q7cLMmFp1wp4BVd5D0d,0.5315000000000001,0.106,0.0,0.479,-9.455,89.051,340.173
57FjXaShXrVKQ8SyiuI8qQ,0.6015,0.427,1.33e-06,0.361,-7.191,109.933,274.933
0W6JbfjzWPdK72DjNOukAO,0.7184999999999999,0.0124,1.93e-06,0.807,-6.893,83.012,210.04
5EjZXJ4nVpw7uI6eso1SFS,0.5135,0.5,0.15,0.258,-8.121,97.492,231.867
1HL3yEnYq8LEyFQ3QegA5V,0.609,0.122,0.0191,0.555,-10.764,101.1,316.467
1GrikfH0jDejDvrxo84n4P,0.733,0.078,0.00697,0.495,-8.942,123.091,301.2
586bkJBqAeLkTy4n1pb8nH,0.7585,0.00449,0.0028,0.74,-4.142,114.494,283.133
